,word,frequency,relative_freq
223,services,13145,0.0005868481459772821
224,report,13141,0.0005866695691356001
225,month,13080,0.0005839462722999505
226,little,13054,0.0005827855228290179
227,media,12882,0.0005751067186366943
228,never,12876,0.0005748388533741715
229,level,12772,0.000570195855490441
230,might,12761,0.0005697047691758157
231,building,12758,0.0005695708365445542
232,days,12737,0.000568633308125724
233,across,12702,0.000567070760761007
234,young,12667,0.00056550821339629
235,party,12659,0.0005651510597129261
236,future,12653,0.0005648831944504032
237,already,12559,0.0005606866386708776
238,able,12551,0.0005603294849875137
239,past,12500,0.000558052630256069
240,house,12402,0.0005536774976348613
241,system,12402,0.0005536774976348613
242,always,12383,0.0005528292576368721
243,game,12281,0.0005482755481739826
244,man,12138,0.0005418914260838532
245,without,12096,0.0005400163692461928
246,why,12063,0.0005385431103023167
247,information,12055,0.0005381859566189528
248,times,11994,0.0005354626597833033
249,start,11989,0.0005352394387312009
250,different,11976,0.0005346590639957345
251,away,11920,0.0005321589882121873
252,looking,11912,0.0005318018345288235
253,later,11910,0.0005317125461079825
254,service,11910,0.0005317125461079825
255,important,11807,0.0005271141924346724
256,keep,11765,0.0005252391355970121
257,hard,11709,0.0005227390598134649
258,again,11665,0.0005207747145549635
259,early,11663,0.0005206854261341226
260,until,11605,0.0005180960619297344
261,came,11557,0.0005159531398295511
262,north,11534,0.0005149263229898799
263,doing,11512,0.0005139441503606292
264,former,11401,0.0005089886430039554
265,area,11361,0.0005072028745871359
266,case,11328,0.0005057296156432599
267,centre,11317,0.0005052385293286346
268,court,11261,0.0005027384535450874
269,given,11222,0.0005009973293386885
270,done,11184,0.00049930084934271
271,10,11180,0.000499122272501028
272,getting,11172,0.0004987651188176641
273,university,11093,0.0004952382261944458
274,far,11016,0.0004918006219920684
275,cost,10990,0.0004906398725211358
276,pay,10909,0.00048702369147707645
277,property,10891,0.00048622009568950774
278,point,10852,0.0004844789714831088
279,further,10811,0.0004826485588558689
280,small,10799,0.0004821128283308231
281,am,10778,0.0004811752999119929
282,d,10763,0.0004805056367556856
283,research,10763,0.0004805056367556856
284,food,10751,0.00047996990623063975
285,development,10742,0.00047956810833685537
286,free,10707,0.0004780055609721384
287,ago,10701,0.0004777376957096155
288,took,10642,0.00047510368729480684
289,find,10633,0.00047470188940102246
290,play,10586,0.00047260361151125964
291,chief,10576,0.0004721571694070548
292,event,10503,0.00046889814204635936
293,bit,10481,0.00046791596941710866
294,open,10438,0.0004659962683690278
295,ll,10407,0.00046461229784599276
296,within,10376,0.0004632283273229577
297,side,10317,0.00046059431890814906
298,road,10295,0.00045961214627889837
299,manager,10283,0.00045907641575385256
300,land,10274,0.0004586746178600682
301,thing,10244,0.0004573352915474536
302,decision,10229,0.00045666562839114633
303,island,10209,0.0004557727441827366
304,run,10203,0.0004555048789202137
305,growth,10093,0.0004505940157739603
306,full,10086,0.00045028150630101687
307,whether,10067,0.00044943326630302765
308,social,10053,0.0004488082473571409
309,job,10035,0.0004480046515695721
310,went,10028,0.00044769214209662876
311,coming,9921,0.00044291521158163676
312,expected,9919,0.0004428259231607958
313,seen,9895,0.0004417544621107042
314,less,9877,0.0004409508663231354
315,become,9858,0.0004401026263251462
316,real,9856,0.00044001333790430523
317,give,9838,0.0004392097421167365
318,risk,9828,0.00043876330001253164
319,board,9772,0.00043626322422898444
320,enough,9770,0.0004361739358081435
321,story,9757,0.00043559356107267716
322,members,9700,0.0004330488410787095
323,percent,9678,0.0004320666684494588
324,live,9650,0.0004308166305576852
325,likely,9641,0.00043041483266390083
326,final,9618,0.0004293880158242297
327,night,9586,0.00042795940109077415
328,taking,9583,0.00042782546845951267
329,car,9572,0.0004273343821448873
330,key,9536,0.00042572719056974985
331,three,9500,0.0004241199989946124
332,experience,9492,0.0004237628453112485
333,strong,9490,0.00042367355689040755
334,yet,9474,0.00042295924952367975
335,process,9469,0.0004227360284715773
336,season,9461,0.00042237887478821344
337,plan,9428,0.00042090561584433745
338,companies,9410,0.0004201020200567687
339,executive,9399,0.00041961093374214334
340,once,9364,0.00041804838637742633
341,issues,9354,0.0004176019442732215
342,interest,9346,0.0004172447905898576
343,financial,9327,0.0004163965505918684
344,director,9312,0.0004157268874355611
345,head,9271,0.0004138964748083212
346,taken,9238,0.00041242321586444517
347,ca,9235,0.00041228928323318374
348,available,9200,0.00041072673586846673
349,price,9177,0.0004096999190287956
350,two,9160,0.00040894096745164733
351,district,9109,0.0004066641127202025
352,students,9095,0.00040603909377431575
353,along,9082,0.00040545871903884944
354,tax,9082,0.00040545871903884944
355,needed,9080,0.00040536943061800847
356,together,9073,0.00040505692114506506
357,current,9062,0.0004045658348304397
358,win,9012,0.00040233362430941547
359,project,9002,0.0004018871822052106
360,issue,8990,0.0004013514516801648
361,policy,8981,0.0004009496537863804
362,continue,8921,0.00039827100116115126
363,must,8865,0.00039577092537760407
364,quite,8858,0.0003954584159046607
365,increase,8829,0.0003941637338024666
366,low,8821,0.00039380658011910273
367,thought,8799,0.00039282440748985203
368,major,8769,0.00039148508117723747
369,called,8739,0.0003901457548646229
370,20,8732,0.0003898332453916795
371,term,8724,0.0003894760917083156
372,asked,8701,0.00038844927486864447
373,state,8691,0.0003880028327644396
374,general,8659,0.00038657421803098404
375,provide,8650,0.0003861724201371997
376,line,8648,0.00038608313171635875
377,access,8611,0.00038443129593080077
378,large,8587,0.0003833598348807091
379,global,8584,0.00038322590224944763
380,economic,8560,0.000382154441199356
381,started,8549,0.0003816633548847307
382,ever,8541,0.00038130620120136675
383,needs,8497,0.0003793418559428654
384,1,8464,0.00037786859699898937
385,often,8459,0.000377645375946887
386,using,8427,0.00037621676121343144
387,bank,8423,0.0003760381843717495
388,person,8407,0.0003753238770050217
389,involved,8406,0.0003752792327946012
390,data,8304,0.0003707255233317117
391,power,8302,0.00037063623491087074
392,due,8292,0.0003701897928066659
393,move,8281,0.00036969870649204055
394,businesses,8275,0.00036943084122951765
395,following,8265,0.00036898439912531276
396,held,8233,0.0003675557843918572
397,programme,8205,0.00036630574650008363
398,role,8190,0.00036563608334377635
399,almost,8182,0.0003652789296604125
400,others,8157,0.00036416282439990036
401,prices,8147,0.00036371638229569547
402,housing,8128,0.00036286814229770625
403,cup,8097,0.0003614841717746712
404,saying,8090,0.0003611716623017278
405,wanted,8090,0.0003611716623017278
406,close,8083,0.0003608591528287844
