,word,frequency,relative_freq
155,health,15658,0.0007875966356374651
156,need,15624,0.0007858864372972126
157,secnd,15609,0.0007851319380294541
158,philippine,15497,0.0007794983434968577
159,prgram,15312,0.0007701928525278366
160,added,15228,0.0007659676566283892
161,cmments,15159,0.0007624969599967003
162,much,15086,0.0007588250635602758
163,center,15000,0.0007544992677584606
164,curt,14979,0.0007534429687835988
165,frmer,14929,0.0007509279712244039
166,dwn,14880,0.000748463273616393
167,based,14872,0.0007480608740069218
168,pwer,14862,0.0007475578744950828
169,ld,14847,0.0007468033752273243
170,fund,14817,0.0007452943766918074
171,tld,14768,0.0007428296790837964
172,lng,14693,0.0007390571827450041
173,between,14670,0.0007379002838677745
174,game,14589,0.0007338259878218788
175,next,14562,0.0007324678891399136
176,set,14514,0.0007300534914830865
177,ff,14434,0.0007260294953883747
178,infrmatin,14314,0.0007199935012463071
179,including,14178,0.000713152707885297
180,want,14100,0.000709229311692953
181,fur,13996,0.0007039981167698277
182,hme,13953,0.0007018352188689201
183,members,13950,0.0007016843190153684
184,schl,13930,0.0007006783199916904
185,says,13880,0.0006981633224324955
186,scial,13857,0.000697006423555266
187,m,13834,0.0006958495246780363
188,prject,13728,0.0006905177298525432
189,arund,13635,0.0006858398343924407
190,san,13571,0.0006826206375166713
191,am,13529,0.0006805080395669476
192,tp,13477,0.0006778924421053849
193,hwever,13418,0.000674924744985535
194,see,13393,0.0006736672462059376
195,case,13340,0.000671001348793191
196,children,13280,0.0006679833517221572
197,management,13150,0.0006614443580682505
198,psted,13107,0.0006592814601673429
199,withut,13063,0.0006570682623152515
200,chief,13013,0.0006545532647560566
201,secretary,12903,0.0006490202701258279
202,end,12809,0.0006442920747145415
203,free,12765,0.00064207887686245
204,supprt,12512,0.0006293529892129239
205,used,12471,0.0006272906912143842
206,every,12383,0.0006228642955102013
207,really,12328,0.0006200977981950869
208,each,12153,0.0006112953067379048
209,system,12116,0.0006094342085441006
210,pints,12096,0.0006084282095204227
211,days,12058,0.0006065168113754346
212,held,11938,0.0006004808172333668
213,industry,11853,0.0005962053213827356
214,number,11841,0.0005956017219685289
215,week,11830,0.000595048422505506
216,services,11812,0.0005941430233841958
217,market,11792,0.0005931370243605178
218,ging,11677,0.0005873525299743697
219,university,11665,0.0005867489305601629
220,shw,11660,0.0005864974308042434
221,re,11645,0.000585742931536485
222,think,11565,0.0005817189354417731
223,water,11553,0.0005811153360275663
224,place,11549,0.0005809141362228308
225,away,11497,0.0005782985387612681
226,big,11491,0.0005779967390541648
227,fd,11352,0.000571005045839603
228,cme,11304,0.0005685906481827759
229,general,11297,0.0005682385485244886
230,news,11243,0.0005655223511605581
231,cntinue,11126,0.0005596372568720422
232,better,11124,0.0005595366569696744
233,called,11118,0.0005592348572625711
234,ecnmic,11075,0.0005570719593616635
235,state,10983,0.0005524443638527448
236,statement,10951,0.0005508347654148601
237,different,10924,0.0005494766667328949
238,fficials,10921,0.0005493257668793433
239,freign,10855,0.000546005970101206
240,must,10855,0.000546005970101206
241,given,10837,0.0005451005709798958
242,ffice,10833,0.0005448993711751603
243,left,10741,0.0005402717756662417
244,why,10722,0.0005393160765937477
245,on,10717,0.0005390645768378282
246,due,10695,0.0005379579779117824
247,rder,10682,0.0005373040785463918
248,2,10679,0.0005371531786928401
249,able,10563,0.000531318384355508
250,reprt,10523,0.0005293063863081521
251,cmmunity,10506,0.0005284512871380258
252,lt,10475,0.000526891988651325
253,give,10460,0.0005261374893835665
254,asked,10447,0.0005254835900181759
255,always,10446,0.000525433290066992
256,prjects,10418,0.0005240248914338429
257,mnth,10400,0.0005231194923125327
258,cuntries,10393,0.0005227673926542454
259,mnths,10326,0.0005193972959249243
260,service,10228,0.0005144679007089023
261,office,10221,0.000514115801050615
262,wrkers,10202,0.0005131601019781211
263,huse,10192,0.000512657102466282
264,media,10191,0.0005126068025150982
265,act,10126,0.0005093373056881448
266,regin,10021,0.0005040558108138356
267,manila,10018,0.0005039049109602839
268,came,9997,0.000502848611985422
269,military,9939,0.000499931214816756
270,grwth,9812,0.000493543121016401
271,seasn,9795,0.0004926880218462748
272,ttal,9739,0.0004898712245799766
273,vice,9703,0.0004880604263373562
274,pm,9695,0.00048765802672788507
275,lk,9662,0.0004859981283388164
276,early,9641,0.0004849418293639546
277,security,9620,0.00048388553038909276
278,least,9607,0.0004832316310237021
279,areas,9582,0.00048197413224410464
280,fight,9577,0.00048172263248818516
281,agency,9562,0.00048096813322042674
282,gt,9545,0.00048011303405030045
283,area,9532,0.00047945913468490977
284,united,9524,0.0004790567350754386
285,rights,9517,0.00047870463541715134
286,site,9452,0.000475435138590198
287,put,9404,0.0004730207409333709
288,alng,9353,0.00047045544342299217
289,tk,9345,0.00047005304381352096
290,especially,9330,0.00046929854454576253
