,word,frequency,relative_freq
227,working,3776,0.0005958194805830068
228,open,3728,0.0005882455041349178
229,city,3722,0.0005872987570789066
230,having,3715,0.0005861942188468937
231,going,3712,0.0005857208453188881
232,without,3691,0.0005824072306228491
233,management,3684,0.0005813026923908361
234,case,3667,0.0005786202423988045
235,investment,3667,0.0005786202423988045
236,region,3665,0.0005783046600468008
237,months,3662,0.0005778312865187953
238,director,3638,0.0005740442982947508
239,too,3637,0.0005738865071187489
240,looking,3588,0.000566154739494658
241,community,3570,0.0005633144983266246
242,due,3534,0.0005576340159905577
243,energy,3534,0.0005576340159905577
244,price,3510,0.0005538470277665133
245,state,3483,0.0005495866660144631
246,using,3483,0.0005495866660144631
247,products,3457,0.0005454840954384149
248,game,3453,0.0005448529307344075
249,few,3452,0.0005446951395584056
250,show,3452,0.0005446951395584056
251,private,3435,0.0005420126895663741
252,among,3432,0.0005415393160383685
253,week,3428,0.000540908151334361
254,announced,3421,0.0005398036131023481
255,already,3389,0.0005347542954702887
256,available,3387,0.000534438713118285
257,health,3369,0.0005315984719502515
258,centre,3362,0.0005304939337182386
259,party,3359,0.000530020560190233
260,head,3339,0.0005268647366701959
261,say,3335,0.0005262335719661885
262,change,3329,0.0005252868249101774
263,mobile,3295,0.0005199219249261143
264,students,3290,0.000519132969046105
265,20,3289,0.0005189751778701032
266,really,3256,0.000513768069062042
267,free,3254,0.0005134524867100382
268,given,3253,0.0005132946955340364
269,personal,3245,0.0005120323661260215
270,started,3240,0.0005112434102460123
271,photo,3238,0.0005109278278940086
272,environment,3235,0.000510454454366003
273,continue,3230,0.0005096654984859937
274,start,3230,0.0005096654984859937
275,building,3220,0.0005080875867259752
276,important,3208,0.0005061940926139528
277,making,3203,0.0005054051367339436
278,impact,3189,0.0005031960602699176
279,customers,3183,0.0005022493132139065
280,issues,3173,0.0005006714014538879
281,access,3171,0.0005003558191018842
282,story,3170,0.0005001980279258823
283,general,3161,0.0004987779073418656
284,key,3161,0.0004987779073418656
285,less,3126,0.0004932552161818007
286,within,3125,0.0004930974250057988
287,10,3119,0.0004921506779497877
288,cost,3109,0.0004905727661897692
289,workers,3106,0.0004900993926617636
290,together,3099,0.0004889948544297506
291,whether,3099,0.0004889948544297506
292,past,3098,0.0004888370632537487
293,markets,3082,0.000486312404437719
294,low,3064,0.0004834721632696856
295,full,3057,0.00048236762503767265
296,university,3056,0.0004822098338616708
297,billion,3054,0.00048189425150966706
298,members,3040,0.0004796851750456411
299,event,3038,0.0004793695926936374
300,days,3037,0.0004792118015176355
301,provide,3034,0.00047873842798962994
302,expected,3032,0.00047842284563762627
303,total,3028,0.0004777916809336188
304,big,3022,0.0004768449338776077
305,power,3019,0.0004763715603496021
306,become,3014,0.00047558260446959287
307,put,3012,0.00047526702211758915
308,dr,3011,0.0004751092309415873
309,facebook,3010,0.0004749514397655854
310,called,3006,0.00047432027506157803
311,video,3004,0.0004740046927095743
312,money,2999,0.000473215736829565
313,capital,2997,0.0004729001544775613
314,leading,2991,0.00047195340742155016
315,foreign,2970,0.0004686397927255112
316,bank,2960,0.0004670618809654927
317,security,2956,0.00046643071626148523
318,find,2926,0.00046169698098142954
319,level,2922,0.00046106581627742215
320,pay,2918,0.0004604346515734147
321,5,2912,0.0004594879045174036
322,comes,2910,0.00045917232216539987
323,phone,2889,0.0004558587074693609
324,currently,2884,0.00045506975158935163
325,chief,2882,0.0004547541692373479
326,include,2879,0.0004542807957093423
327,kong,2875,0.00045364963100533493
328,amp,2870,0.0004528606751253256
329,might,2864,0.0004519139280693145
330,regional,2860,0.00045128276336530706
331,ministry,2859,0.00045112497218930526
332,give,2852,0.0004500204339572922
333,small,2845,0.00044891589572527925
334,2,2843,0.0004486003133732755
335,hong,2830,0.00044654902808525143
336,straits,2817,0.0004444977427972273
337,ve,2814,0.0004440243692692217
338,following,2812,0.00044370878691721803
339,further,2799,0.0004416575016291939
340,statement,2799,0.0004416575016291939
341,real,2798,0.000441499710453192
342,children,2794,0.00044086854574918464
343,increase,2781,0.0004388172604611605
344,needs,2756,0.0004348724810611141
345,took,2754,0.0004345568987091104
346,email,2753,0.00043439910753310853
347,office,2752,0.00043424131635710667
348,current,2737,0.00043187444871707885
349,play,2730,0.0004307699104850659
350,higher,2721,0.0004293497899010492
351,example,2716,0.00042856083402103987
352,project,2713,0.0004280874604930343
353,firm,2708,0.00042729850461302503
354,lot,2706,0.0004269829222610213
355,am,2705,0.00042682513108501945
356,role,2680,0.00042288035168497307
357,trade,2677,0.0004224069781569675
358,former,2670,0.0004213024399249545
359,rest,2667,0.0004208290663969489
360,area,2663,0.00042019790169294153
361,value,2653,0.00041861998993292297
362,latest,2645,0.00041735766052490813
363,held,2642,0.00041688428699690255
364,early,2641,0.0004167264958209007
365,several,2635,0.0004157797487648896
366,board,2631,0.00041514858406088213
367,marketing,2630,0.00041499079288488027
368,south,2624,0.00041404404582886915
369,seen,2619,0.0004132550899488599
370,great,2615,0.00041262392524485245
371,point,2601,0.0004104148487808265
372,always,2598,0.0004099414752528209
373,prime,2596,0.0004096258929008172
374,united,2591,0.00040883693702080794
375,games,2590,0.0004086791458448061
376,app,2588,0.00040836356349280235
377,executive,2578,0.0004067856517327838
378,site,2578,0.0004067856517327838
379,two,2575,0.0004063122782047782
380,yet,2568,0.00040520773997276523
381,3,2557,0.0004034720370367448
382,known,2551,0.0004025252899807337
383,recent,2548,0.0004020519164527281
384,major,2530,0.0003992116752846947
385,investors,2526,0.0003985805105806873
386,later,2522,0.00039794934587667987
387,ago,2519,0.00039747597234867434
